iteration,cycle_delta
0,93244
1,83815
2,118957
3,170902
4,175937
5,188334
6,318971
7,74599
8,57160
9,74112
10,89971
11,178801
12,87694
13,57129
14,74572
15,95063
16,123372
17,74033
18,102953
19,138917
20,317749
21,72739
22,91117
23,75850
24,143567
25,161581
26,57063
27,208491
28,75834
29,75846
30,57075
31,114653
32,120163
33,74254
34,73436
35,57194
36,172683
37,204225
38,374818
39,90135
40,74702
41,158932
42,106461
43,237711
44,73017
45,109277
46,172712
47,57086
48,181370
49,72976
50,73022
51,88848
52,106253
53,106322
54,57049
55,114528
56,214196
57,78309
58,159495
59,456495
60,211791
61,57159
62,105370
63,57127
64,89896
65,441067
66,57087
67,90455
68,157356
69,92268
70,72486
71,93828
72,57129
73,77138
74,180037
75,128873
76,57080
77,245435
78,181222
79,110500
80,90386
81,72913
82,57061
83,93945
84,57034
85,73022
86,96889
87,359302
88,57046
89,74707
90,105886
91,90019
92,212788
93,57103
94,158089
95,120794
96,63155
97,142408
98,57089
99,157303
100,90506
101,150541
102,145735
103,196453
104,62489
105,153821
106,61997
107,105236
108,83145
109,83221
110,64197
111,206356
112,84779
113,185873
114,58324
115,136976
116,76521
117,58823
118,183406
119,80829
120,93854
121,210678
122,184172
123,57137
124,111155
125,75903
126,113738
127,212634
128,106309
129,143732
130,57067
131,57089
132,73401
133,123149
134,167336
135,344039
136,74081
137,90536
138,104019
139,232373
140,98525
141,57056
142,88709
143,57014
144,57008
145,77045
146,57094
147,175566
148,108587
149,94956
150,247620
151,191939
152,116649
153,73025
154,89922
155,88717
156,179745
157,133686
158,435571
159,77896
160,59066
161,143379
162,57976
163,188277
164,127374
165,195148
166,57749
167,57779
168,73612
169,74716
170,217315
171,76269
172,146859
173,149192
174,91320
175,94584
176,144933
177,111891
178,108838
179,57822
180,158581
181,258680
182,130670
183,174762
184,57040
185,129256
186,149772
187,74904
188,94617
189,137857
190,77376
191,58391
192,103131
193,81168
194,57678
195,210051
196,132823
197,102927
198,117976
199,95944
200,108909
201,218066
202,109701
203,76929
204,72416
205,77017
206,202058
207,142720
208,94085
209,74157
210,73364
211,74378
212,74675
213,78416
214,220252
215,194200
216,57077
217,93585
218,317669
219,156799
220,57235
221,160064
222,88849
223,113377
224,57038
225,107788
226,73711
227,187283
228,90911
229,73507
230,57187
231,57085
232,138400
233,89537
234,125841
235,129319
236,74042
237,94059
238,104613
239,77057
240,178194
241,72972
242,262633
243,213403
244,74752
245,57293
246,57081
247,87880
248,75822
249,129272
250,109168
251,289790
252,213979
253,110006
254,92258
255,93107
256,267001
257,129311
258,110041
259,125182
260,130874
261,142303
262,56975
263,57133
264,77119
265,74617
266,73018
267,57093
268,110564
269,174511
270,130243
271,76947
